size,algorithm,seed,generation,best_fitness
small,SA,1,48,640.9426455208506
small,SA,1,49,640.9426455208506
small,SA,2,0,1380.6315773491012
small,SA,2,1,1195.225220219961
small,SA,2,2,1117.1749080500895
small,SA,2,3,1117.1749080500895
small,SA,2,4,1117.1749080500895
small,SA,2,5,1117.1749080500895
small,SA,2,6,1109.2173175632468
small,SA,2,7,1077.7520204806865
small,SA,2,8,1077.7520204806865
small,SA,2,9,1074.647890809566
small,SA,2,10,1054.540009962036
small,SA,2,11,1054.2846610443635
small,SA,2,12,1053.414445788637
small,SA,2,13,1053.414445788637
small,SA,2,14,1053.414445788637
small,SA,2,15,1052.5464634402624
small,SA,2,16,1052.5464634402624
small,SA,2,17,1052.5464634402624
small,SA,2,18,1052.5464634402624
small,SA,2,19,1048.1042092683515
small,SA,2,20,1048.1042092683515
small,SA,2,21,1048.1042092683515
small,SA,2,22,1048.1042092683515
small,SA,2,23,1048.1042092683515
small,SA,2,24,1048.1042092683515
small,SA,2,25,1047.3317852107566
small,SA,2,26,1047.3317852107566
small,SA,2,27,1047.3317852107566
small,SA,2,28,1047.3317852107566
small,SA,2,29,1047.3317852107566
small,SA,2,30,1047.3317852107566
small,SA,2,31,1047.3317852107566
small,SA,2,32,1047.3317852107566
small,SA,2,33,1047.3317852107566
small,SA,2,34,1047.3317852107566
small,SA,2,35,1047.3317852107566
small,SA,2,36,1047.3317852107566
small,SA,2,37,1047.3317852107566
small,SA,2,38,1047.3317852107566
small,SA,2,39,1046.9621504662755
small,SA,2,40,1046.9621504662755
small,SA,2,41,1046.9621504662755
small,SA,2,42,1046.9621504662755
small,SA,2,43,1046.9621504662755
small,SA,2,44,1046.9621504662755
small,SA,2,45,1046.9621504662755
small,SA,2,46,1046.4389048653172
small,SA,2,47,1045.727460207644
small,SA,2,48,1045.727460207644
small,SA,2,49,1045.727460207644
small,SA,3,0,1485.8489381002946
small,SA,3,1,1485.8489381002946
small,SA,3,2,1480.4834517915283
small,SA,3,3,1480.4834517915283
small,SA,3,4,1480.4834517915283
small,SA,3,5,1480.4834517915283
small,SA,3,6,1480.4834517915283
small,SA,3,7,1480.4834517915283
small,SA,3,8,1480.4834517915283
small,SA,3,9,1480.4834517915283
small,SA,3,10,1480.4834517915283
small,SA,3,11,1480.4834517915283
small,SA,3,12,1480.4834517915283
small,SA,3,13,1480.4834517915283
small,SA,3,14,1183.184741194624
small,SA,3,15,815.285601258849
small,SA,3,16,815.0845899908295
small,SA,3,17,815.0845899908295
small,SA,3,18,815.0845899908295
small,SA,3,19,807.5028796151462
small,SA,3,20,807.5028796151462
small,SA,3,21,807.5028796151462
small,SA,3,22,807.5028796151462
small,SA,3,23,807.5028796151462
small,SA,3,24,807.5028796151462
small,SA,3,25,807.5028796151462
small,SA,3,26,807.5028796151462
small,SA,3,27,807.5028796151462
small,SA,3,28,807.5028796151462
small,SA,3,29,807.5028796151462
small,SA,3,30,807.5028796151462
small,SA,3,31,807.5028796151462
small,SA,3,32,807.5028796151462
small,SA,3,33,807.5028796151462
small,SA,3,34,802.0390322383837
small,SA,3,35,801.4830123874176
small,SA,3,36,797.0597581385814
small,SA,3,37,797.0597581385814
small,SA,3,38,797.0597581385814
small,SA,3,39,797.0597581385814
small,SA,3,40,797.0597581385814
small,SA,3,41,797.0597581385814
small,SA,3,42,797.0597581385814
small,SA,3,43,797.0597581385814
small,SA,3,44,797.0597581385814
small,SA,3,45,797.0597581385814
small,SA,3,46,797.0597581385814
small,SA,3,47,797.0597581385814
small,SA,3,48,797.0597581385814
small,SA,3,49,797.0597581385814
small,SA,4,0,2040.8382477272362
small,SA,4,1,1750.854407097989
small,SA,4,2,1750.854407097989
small,SA,4,3,1614.7007874389715
small,SA,4,4,1597.293704560664
small,SA,4,5,1597.293704560664
small,SA,4,6,1597.293704560664
small,SA,4,7,1574.4510052554665
small,SA,4,8,1574.4510052554665
small,SA,4,9,1574.4510052554665
small,SA,4,10,1574.4510052554665
small,SA,4,11,1182.3819109196595
small,SA,4,12,1179.744653199703
small,SA,4,13,1179.744653199703
small,SA,4,14,1179.744653199703
small,SA,4,15,1179.744653199703
small,SA,4,16,1179.744653199703
small,SA,4,17,1158.9159540484966
small,SA,4,18,1158.9159540484966
small,SA,4,19,893.484264033073
small,SA,4,20,891.1075149723653
small,SA,4,21,885.4807083438973
small,SA,4,22,885.4807083438973
small,SA,4,23,885.4807083438973
small,SA,4,24,883.8763833407844
small,SA,4,25,883.8763833407844
small,SA,4,26,882.8434506239407
small,SA,4,27,882.8434506239407
small,SA,4,28,882.8434506239407
small,SA,4,29,882.8434506239407
small,SA,4,30,882.8434506239407
small,SA,4,31,882.8434506239407
small,SA,4,32,882.8434506239407
small,SA,4,33,882.8434506239407
small,SA,4,34,882.8434506239407
small,SA,4,35,882.8434506239407
small,SA,4,36,882.8434506239407
small,SA,4,37,882.8434506239407
small,SA,4,38,881.5192597646317
small,SA,4,39,881.5192597646317
small,SA,4,40,881.5192597646317
small,SA,4,41,881.5192597646317
small,SA,4,42,877.0099685026971
small,SA,4,43,877.0099685026971
small,SA,4,44,877.0099685026971
small,SA,4,45,762.5552464484224
small,SA,4,46,761.8438017907491
small,SA,4,47,761.8438017907491
small,SA,4,48,542.9158075257108
small,SA,4,49,542.9158075257108
small,SA,5,0,1672.41137578523
small,SA,5,1,1672.41137578523
small,SA,5,2,1671.638951727635
small,SA,5,3,1197.3714653723368
small,SA,5,4,1196.9990278506398
small,SA,5,5,1177.553852728469
small,SA,5,6,1171.258095096809
small,SA,5,7,1171.258095096809
small,SA,5,8,1171.258095096809
small,SA,5,9,1171.258095096809
small,SA,5,10,1171.258095096809
small,SA,5,11,1171.258095096809
small,SA,5,12,1171.258095096809
small,SA,5,13,1170.8884603523275
small,SA,5,14,1170.8884603523275
small,SA,5,15,1170.8884603523275
small,SA,5,16,1170.8884603523275
small,SA,5,17,1170.8884603523275
small,SA,5,18,1170.8884603523275
small,SA,5,19,1170.8884603523275
small,SA,5,20,1170.8884603523275
small,SA,5,21,1170.8884603523275
small,SA,5,22,1170.8884603523275
small,SA,5,23,1170.8884603523275
small,SA,5,24,1170.8884603523275
small,SA,5,25,1170.8884603523275
small,SA,5,26,1170.8884603523275
small,SA,5,27,1170.8884603523275
small,SA,5,28,1080.4015667539325
small,SA,5,29,1074.1058091222721
small,SA,5,30,1074.1058091222721
small,SA,5,31,1074.1058091222721
small,SA,5,32,1074.1058091222721
small,SA,5,33,1072.5014841191594
small,SA,5,34,1072.5014841191594
small,SA,5,35,1072.5014841191594
small,SA,5,36,1072.5014841191594
small,SA,5,37,1072.5014841191594
small,SA,5,38,1072.5014841191594
small,SA,5,39,1072.5014841191594
small,SA,5,40,1072.5014841191594
small,SA,5,41,1007.3196985341013
small,SA,5,42,1007.3196985341013
small,SA,5,43,929.367254815532
small,SA,5,44,929.367254815532
small,SA,5,45,928.6558101578587
small,SA,5,46,928.6558101578587
small,SA,5,47,928.6558101578587
small,SA,5,48,928.6558101578587
small,SA,5,49,928.6558101578587
small,SA,6,0,1129.54947224214
small,SA,6,1,1127.172723181432
small,SA,6,2,1127.172723181432
small,SA,6,3,1127.172723181432
small,SA,6,4,1127.172723181432
small,SA,6,5,952.4538754445572
small,SA,6,6,952.4538754445572
small,SA,6,7,951.8384392366394
small,SA,6,8,951.8384392366394
small,SA,6,9,951.8384392366394
small,SA,6,10,951.8384392366394
small,SA,6,11,951.8384392366394
